Date,Open,High,Low,Actual,Volume,Prophet
2013-07-18,4.38,4.65,4.37,4.64,69380920.0,152.5217234552217
2013-07-18,15.3135,15.317,15.0935,15.2055,61176700.0,152.5217234552217
2013-07-18,26.75,26.77,26.12,26.18,24697620.0,152.5217234552217
2013-07-18,8.0647,8.182,7.7453,7.9353,170465465.0,152.5217234552217
2013-07-18,61.94,62.02,60.82,61.115,23673110.0,152.5217234552217
2013-07-18,38.6157,38.6157,37.7143,38.0586,20418642.0,152.5217234552217
2013-07-18,15.4779,15.5311,15.3789,15.4199,218632537.0,152.5217234552217
2013-07-18,25.87,26.15,25.73,25.86,32989780.0,152.5217234552217
2013-07-18,34.225,34.505,34.02,34.24,8536008.0,152.5217234552217
2013-07-18,35.72,35.89,35.22,35.44,48522740.0,152.5217234552217
2013-07-19,34.285,34.555,34.2,34.395,7196954.0,152.5217234552217
2013-07-19,15.2195,15.2895,15.0955,15.2615,59250980.0,152.5217234552217
2013-07-19,61.22,61.57,61.09,61.46,14492020.0,152.5217234552217
2013-07-19,3.99,4.08,3.85,4.03,151446600.0,152.5217234552217
2013-07-19,38.2043,38.2784,37.5971,37.7966,18098750.0,152.5217234552217
2013-07-19,25.82,26.1077,25.6,25.881,46515740.0,152.5217234552217
2013-07-19,32.4,32.67,31.02,31.4,247534200.0,152.5217234552217
2013-07-19,25.86,26.0,25.62,25.82,38798190.0,152.5217234552217
2013-07-19,7.9,8.0367,7.7673,7.9787,88259401.0,152.5217234552217
2013-07-19,15.4679,15.4993,15.1554,15.1768,268548901.0,152.5217234552217
2013-07-22,31.7,32.01,31.6,32.01,78966800.0,152.5217234552217
2013-07-22,25.99,26.13,25.72,26.045,27490350.0,152.5217234552217
2013-07-22,26.0,26.04,25.48,25.72,30419590.0,152.5217234552217
2013-07-22,4.005,4.01,3.885,3.9,49758410.0,152.5217234552217
2013-07-22,34.54,34.605,34.275,34.51,6559682.0,152.5217234552217
2013-07-22,15.4625,15.4625,15.1,15.174,50411260.0,152.5217234552217
2013-07-22,61.68,62.21,61.495,62.21,12712600.0,152.5217234552217
2013-07-22,38.1214,38.3928,36.7314,37.4228,44791095.0,152.5217234552217
2013-07-22,7.9927,8.4453,7.992,8.162,146957822.0,152.5217234552217
2013-07-22,15.3379,15.3482,15.1953,15.2254,207648981.0,152.5217234552217
2013-07-23,31.91,32.04,31.71,31.82,65809130.0,152.5217234552217
2013-07-23,15.158,15.253,15.028,15.053,39981880.0,152.5217234552217
2013-07-23,3.88,3.88,3.64,3.66,76717500.0,152.5217234552217
2013-07-23,15.2143,15.2486,14.9539,14.9639,354477618.0,152.5217234552217
2013-07-23,26.1,26.3,25.97,26.13,28138680.0,152.5217234552217
2013-07-23,25.7,25.77,25.49,25.56,27952850.0,152.5217234552217
2013-07-23,34.62,34.66,33.725,33.83,8465132.0,152.5217234552217
2013-07-23,35.9143,37.4621,35.1714,35.7514,76792963.0,152.5217234552217
2013-07-23,8.2667,8.3707,8.1213,8.1827,116031182.0,152.5217234552217
2013-07-23,62.27,62.75,62.21,62.3,9007771.0,152.5217234552217
2013-07-24,8.298,8.3,7.9707,8.1133,102998094.0,152.5217234552217
2013-07-24,15.151,15.192,14.902,14.947,39980680.0,152.5217234552217
2013-07-24,15.6761,15.8782,15.545,15.7325,591624923.0,152.5217234552217
2013-07-24,34.06,34.215,33.15,33.305,14028714.0,152.5217234552217
2013-07-24,32.035,32.19,31.89,31.96,52798940.0,152.5217234552217
2013-07-24,62.89,62.96,61.19,61.39,19982080.0,152.5217234552217
2013-07-24,35.6743,36.0357,34.3143,34.4714,33395351.0,152.5217234552217
2013-07-24,26.32,26.53,26.05,26.51,75364480.0,152.5217234552217
2013-07-24,25.84,25.99,25.45,25.59,27329230.0,152.5217234552217
2013-07-24,3.69,3.75,3.58,3.63,50766260.0,152.5217234552217
2013-07-25,3.64,3.74,3.6,3.7,29221360.0,152.5217234552217
2013-07-25,31.62,31.65,31.25,31.39,63206730.0,152.5217234552217
2013-07-25,63.49,64.45,62.89,63.42,24795100.0,152.5217234552217
2013-07-25,33.47,34.15,33.365,34.085,15885534.0,152.5217234552217
2013-07-25,15.7393,15.7643,15.5646,15.6607,229432412.0,152.5217234552217
2013-07-25,14.95,15.225,14.8375,15.17,107373640.0,152.5217234552217
2013-07-25,34.3657,35.38,34.2728,35.2486,19632318.0,152.5217234552217
2013-07-25,33.545,34.88,32.75,34.359,365091700.0,152.5217234552217
2013-07-25,8.0267,8.3167,8.0127,8.2713,79258070.0,152.5217234552217
2013-07-25,25.6,25.62,25.31,25.5,31482550.0,152.5217234552217
2013-07-26,15.5464,15.7514,15.5121,15.7496,200082264.0,152.5217234552217
2013-07-26,62.92,64.8,62.83,64.61,18061880.0,152.5217234552217
2013-07-26,3.7,3.83,3.66,3.82,42510640.0,152.5217234552217
2013-07-26,34.9457,35.2828,34.4014,35.1871,17825386.0,152.5217234552217
2013-07-26,14.9775,15.681,14.7775,15.6005,176308940.0,152.5217234552217
2013-07-26,25.25,25.5,25.23,25.496,19939740.0,152.5217234552217
2013-07-26,36.3,36.76,35.925,36.68,32287560.0,152.5217234552217
2013-07-26,31.26,31.62,31.205,31.62,38631450.0,152.5217234552217
2013-07-26,8.5427,8.712,8.4407,8.626,144408333.0,152.5217234552217
2013-07-26,33.77,34.73,33.56,34.01,135881500.0,152.5217234552217
2013-07-29,31.47,31.6,31.4,31.54,28870360.0,152.5217234552217
2013-07-29,8.6213,9.0247,8.55,8.9747,145171202.0,152.5217234552217
2013-07-29,3.87,3.89,3.75,3.75,32247460.0,152.5217234552217
2013-07-29,34.07,35.63,34.01,35.43,124716100.0,152.5217234552217
2013-07-29,15.5535,15.65,15.295,15.305,64236220.0,152.5217234552217
2013-07-29,25.36,25.47,25.23,25.33,17839430.0,152.5217234552217
2013-07-29,15.7429,16.0711,15.7214,15.9925,248025441.0,152.5217234552217
2013-07-29,64.47,64.9,64.17,64.24,9304668.0,152.5217234552217
2013-07-29,36.375,36.54,36.05,36.225,12800438.0,152.5217234552217
2013-07-29,35.1514,35.81,34.6428,34.9943,13214058.0,152.5217234552217
2013-07-30,15.386,15.4892,15.0785,15.1205,61068500.0,152.5217234552217
2013-07-30,16.07,16.3268,16.0439,16.19,308960556.0,152.5217234552217
2013-07-30,35.65,37.96,35.32,37.627,172937500.0,152.5217234552217
2013-07-30,25.46,26.04,25.415,25.67,45348520.0,152.5217234552217
